number,university,campus,region,extend
1,서울대학교,본교(관악),seoul,4108394
2,영남대학교,본교(경북경산),gyeongsang,2622180
3,대구대학교,본교(경산),gyeongsang,2343150
4,한국외국어대학교,캠퍼스(용인왕산),gyeonggi,2229757
5,서울대학교,평창캠퍼스,gangwon,2006242
6,동아방송예술대학교,본교(경기안성),gyeonggi,1729513
7,연세대학교,분교(원주),gangwon,1629631
8,포항공과대학교,본교(포항),gyeongsang,1627255
9,충남대학교,본교(대전유성),daejeon,1600778
10,계명대학교,본교(성서),daegu,1582715
11,창원대학교,본교(창원),gyeongsang,1342789
12,경희대학교,국제캠퍼스(수원),gyeonggi,1339838
13,영진전문대학교,글로벌,gyeongsang,1319904
14,동아대학교,본교(승학),busan,1310051
15,경상대학교,본교(가좌),gyeongsang,1303005
16,홍익대학교,캠퍼스(세종),chungcheong,1290963
17,전북대학교,본교(전주덕진),jeolla,1270984
18,한양대학교,분교(안산),gyeonggi,1039249
19,조선대학교,본교,gwangju,1031447
20,강원대학교,본교(춘천),gangwon,1001311
21,전남대학교,본교(광주),gwangju,968383
22,충북대학교,본교(충북개신),chungcheong,950902
23,고려대학교,본교(서울),seoul,881298
24,신라대학교,본교(부산백양),busan,874686
25,총신대학교,제2캠퍼스(양지),gyeonggi,865528
26,위덕대학교,본교(경북경주),gyeongsang,855204
27,대구가톨릭대학교,본교(효성),gyeongsang,828694
28,연세대학교,본교(신촌),seoul,828528
29,한서대학교,태안캠퍼스,chungcheong,825759
30,군산대학교,본교(군산),jeolla,824783
31,경북대학교,본교(대구북구),daegu,805597
32,한국교원대학교,본교,chungcheong,788222
33,문경대학교,본교(문경),gyeongsang,786149
34,안동대학교,본교(안동),gyeongsang,784379
35,중앙대학교,캠퍼스(안성),gyeonggi,762240
36,대진대학교,본교(포천),gyeonggi,746947
37,선문대학교,본교(아산),chungcheong,737832
38,인천대학교,본교,incheon,722140
39,금오공과대학교,본교(경북구미),gyeongsang,687067
40,호서대학교,본교(아산),chungcheong,675664
41,원광대학교,본교(익산),jeolla,656138
42,부산대학교,본교(부산),busan,652742
43,경동대학교,설악제1캠퍼스,gangwon,641881
44,강릉원주대학교,본교(강릉),gangwon,637153
45,단국대학교,캠퍼스(천안),chungcheong,621256
46,강원대학교,제2캠퍼스(삼척),gangwon,619363
47,목포대학교,본교(도림),jeolla,617012
48,연세대학교,캠퍼스(국제),incheon,612185
49,수원대학교,본교,gyeonggi,610031
50,동신대학교,본교,jeolla,598737
51,전주대학교,본교,jeolla,597082
52,공주대학교,제3캠퍼스(예산),chungcheong,587172
53,가야대학교,김해캠퍼스,gyeongsang,582577
54,가천대학교,성남글로벌캠퍼스,gyeonggi,558569
55,한국교통대학교,본교(충주),chungcheong,553198
56,청주대학교,본교(우암),chungcheong,550640
57,연암대학교,본교,chungcheong,546451
58,이화여자대학교,본교(신촌),seoul,545010
59,용인대학교,본교(용인),gyeonggi,541207
60,경남대학교,본교(마산),gyeongsang,534447
61,한국해양대학교,본교(부산),busan,525346
62,경북대학교,제3캠퍼스(상주),gyeongsang,516206
63,동의대학교,본교(가야),busan,513902
64,한남대학교,본교(대덕),daejeon,511922
65,한라대학교,본교(원주),gangwon,508124
66,서울과학기술대학교,본교,seoul,504922
67,남서울대학교,본교(충남천안),chungcheong,499887
68,순천향대학교,본교(충남아산),chungcheong,493341
69,성균관대학교,자연과학캠퍼스,gyeonggi,492313
70,경기대학교,본교(수원),gyeonggi,491947
71,울산대학교,본교(울산),ulsan,489526
72,한신대학교,본교(경기),gyeonggi,487352
73,명지대학교,자연캠퍼스,gyeonggi,487186
74,동국대학교,분교(경주),gyeongsang,480614
75,백석대학교,본교(천안),chungcheong,470817
76,아주대학교,본교(경기수원),gyeonggi,466064
77,목원대학교,본교,daejeon,461059
78,신안산대학교,본교(안산),gyeonggi,459804
79,건국대학교,본교(서울),seoul,456392
80,한국기술교육대학교,본교(병천),chungcheong,445881
81,단국대학교,본교(죽전),gyeonggi,436517
82,서울시립대학교,본교,seoul,434004
83,고려대학교,분교(세종),chungcheong,426769
84,중부대학교,본교,chungcheong,417111
85,한국국제대학교,본교(경남진주),gyeongsang,412805
86,세명대학교,본교(제천),chungcheong,407441
87,한양대학교,본교(서울),seoul,401729
88,전남대학교,제2캠퍼스(여수),jeolla,398625
89,경동대학교,문막캠퍼스,gangwon,396165
90,아주자동차대학,본교(충남보령),chungcheong,387498
91,유원대학교,영동캠퍼스,chungcheong,385657
92,경성대학교,본교,busan,380324
93,경주대학교,본교(경주),gyeongsang,377543
94,동원과학기술대학교,본교,gyeongsang,361862
95,인하대학교,본교(미추홀구),incheon,361087
96,대전대학교,본교(용운),daejeon,360510
97,부경대학교,본교(대연),busan,360074
98,공주대학교,본교(신관),chungcheong,355760
99,광주가톨릭대학교,본교(나주),jeolla,354938
100,경희대학교,본교(서울),seoul,351547
101,동양대학교,본교(영주),gyeongsang,348153
102,건국대학교,분교(글로컬),chungcheong,348146
103,동서대학교,본교(사상),busan,346465
104,우송대학교,본교(대전),daejeon,340677
105,신성대학교,본교,chungcheong,339320
106,순천대학교,본교(순천),jeolla,339084
107,농협대학교,본교,gyeonggi,337396
108,경북과학대학교,본교,gyeongsang,336175
109,부산대학교,제3캠퍼스(밀양),gyeongsang,330310
110,동명대학교,본교(용당),busan,330252
111,우석대학교,본교(완주),jeolla,330046
112,청운대학교,본교(충남홍성),chungcheong,327996
113,경운대학교,본교(구미),gyeongsang,326608
114,중원대학교,본교(충북),chungcheong,323521
115,부경대학교,제2캠퍼스(용당),busan,323444
116,삼육대학교,본교,seoul,319537
117,한동대학교,본교(포항),gyeongsang,317567
118,대구한의대학교,삼성캠퍼스,gyeongsang,312535
119,인제대학교,본교(김해),gyeongsang,310933
120,가톨릭관동대학교,본교(강릉),gangwon,310005
121,한서대학교,본교(서산),chungcheong,309792
122,한밭대학교,본교(대전),daejeon,308867
123,두원공과대학교,본교(안성),gyeonggi,308368
124,포항대학교,본교,gyeongsang,307982
125,목포해양대학교,본교(목포),jeolla,307622
126,여주대학교,본교(경기여주),gyeonggi,306812
127,울산과학대학교,본교(동부),ulsan,298228
128,충북보건과학대학교,본교,chungcheong,297545
129,세한대학교,본교(영암),jeolla,287979
130,경남과학기술대학교,내동캠퍼스,gyeongsang,287214
131,상지대학교,본교(강원원주),gangwon,287137
132,부산대학교,제4캠퍼스(양산),gyeongsang,279898
133,호원대학교,본교(임피),jeolla,279512
134,초당대학교,본교(전남무안),jeolla,276773
135,대원대학교,본교(제천),chungcheong,276399
136,한림대학교,본교(춘천),gangwon,267695
137,중부대학교,고양캠퍼스,gyeonggi,266964
138,한국영상대학교,본교,chungcheong,266313
139,마산대학교,본교(마산),gyeongsang,265537
140,한국교통대학교,제2캠퍼스(증평),chungcheong,260487
141,호남대학교,본교(광산),gwangju,253941
142,상명대학교,캠퍼스(천안),chungcheong,253621
143,광주대학교,본교(광주진월),gwangju,251941
144,대전과학기술대학교,본교(대전),daejeon,247646
145,백석문화대학교,본교(천안),chungcheong,244703
146,고신대학교,본교(영도),busan,244114
147,경일대학교,본교(경산),gyeongsang,241670
148,서울예술대학교,본교(안산),gyeonggi,239071
149,경북전문대학교,본교,gyeongsang,237717
150,가톨릭대학교,성심캠퍼스,gyeonggi,235048
151,서울여자대학교,본교(서울),seoul,225020
152,수원과학대학교,본교,gyeonggi,222458
153,전남도립대학교,본교(담양),jeolla,220143
154,서울신학대학교,본교(부천),gyeonggi,220122
155,경인교육대학교,제2캠퍼스(경기),gyeonggi,220121
156,거제대학교,본교,gyeongsang,219088
157,극동대학교,본교(음성),chungcheong,217914
158,경복대학교,본교(남양주),gyeonggi,217175
159,김포대학교,본교(김포),gyeonggi,217056
160,배재대학교,본교(대전),daejeon,212268
161,부산외국어대학교,본교(남산동),busan,211606
162,송호대학교,본교,gangwon,210903
163,동아보건대학교,본교(전남영암),jeolla,209624
164,서강대학교,본교(서울),seoul,209509
165,동원대학교,본교,gyeonggi,207865
166,건양대학교,본교(논산),chungcheong,206211
167,장안대학교,본교,gyeonggi,205489
168,대덕대학교,본교,daejeon,205131
169,안양대학교,제2캠퍼스(강화),incheon,200350
170,강남대학교,본교(경기),gyeonggi,198178
171,영산대학교,본교(양산),gyeongsang,196209
172,수성대학교,본교(대구),daegu,195391
173,국민대학교,본교(서울),seoul,191736
174,순천제일대학교,본교(전남순천),jeolla,191050
175,춘천교육대학교,본교(춘천),gangwon,190462
176,계명문화대학교,본교(성서),daegu,188550
177,영남외국어대학,본교(경산),gyeongsang,187804
178,경인교육대학교,본교(인천),incheon,186400
179,강원관광대학교,본교,gangwon,184661
180,한국침례신학대학교,본교(대전),daejeon,184503
181,성결대학교,본교(경기안양),gyeonggi,182430
182,청강문화산업대학교,본교,gyeonggi,181996
183,호서대학교,제2캠퍼스(천안),chungcheong,181543
184,오산대학교,본교,gyeonggi,181058
185,유원대학교,아산캠퍼스,chungcheong,179815
186,한국산업기술대학교,본교(경기시흥),gyeonggi,178465
187,충청대학교,본교,chungcheong,175672
188,상명대학교,본교(서울),seoul,174763
189,중앙승가대학교,본교(경기김포),gyeonggi,174260
190,동국대학교,일산캠퍼스,gyeonggi,172254
191,공주대학교,제4캠퍼스(천안),chungcheong,171034
192,군장대학교,본교,jeolla,170796
193,덕성여자대학교,쌍문캠퍼스,seoul,170742
194,동국대학교,본교(서울),seoul,169649
195,목포대학교,제2캠퍼스(목포),jeolla,168376
196,건양대학교,제2캠퍼스(대전),daejeon,168121
197,창원문성대학교,본교(두대),gyeongsang,167909
198,김천대학교,본교,gyeongsang,167240
199,연암공과대학교,본교(경남진주),gyeongsang,166322
200,한경대학교,본교(경기안성),gyeonggi,165061
201,백제예술대학교,본교(전북완주),jeolla,163844
202,조선이공대학교,본교,gwangju,162178
203,대전가톨릭대학교,본교(연기),chungcheong,161947
204,김해대학교,본교,gyeongsang,161452
205,강릉원주대학교,제2캠퍼스(원주),gangwon,158788
206,경동대학교,양주캠퍼스,gyeonggi,157913
207,국제대학교,본교(송탄),gyeonggi,157657
208,부천대학교,캠퍼스(소사),gyeonggi,152758
209,한림성심대학교,본교(강원춘천),gangwon,152343
210,송원대학교,본교,gwangju,152184
211,강원도립대학교,본교,gangwon,151689
212,중앙대학교,본교(서울),seoul,150949
213,강동대학교,본교,chungcheong,150786
214,경복대학교,제2캠퍼스(남양주),gyeonggi,148472
215,대림대학교,본교(안양),gyeonggi,148157
216,부산가톨릭대학교,본교,busan,147595
217,광주교육대학교,본교(광주북구),gwangju,145695
218,전북대학교,제2캠퍼스(익산),jeolla,145461
219,안산대학교,본교,gyeonggi,144638
220,충남도립대학교,본교,chungcheong,143704
221,신한대학교,제1캠퍼스,gyeonggi,142607
222,신한대학교,제2캠퍼스,gyeonggi,141881
223,한국항공대학교,본교(고양),gyeonggi,141532
224,서라벌대학교,본교,gyeongsang,141315
225,성균관대학교,인문사회과학캠퍼스,seoul,140934
226,전주비전대학교,본교(효자),jeolla,140635
227,구미대학교,본교,gyeongsang,136760
228,춘해보건대학교,본교(울산),ulsan,136249
229,숭실대학교,본교(서울상도),seoul,133951
230,금강대학교,본교,chungcheong,133788
231,대경대학교,남양주,gyeonggi,132937
232,서원대학교,본교(충북청주),chungcheong,132625
233,영남이공대학교,본교(대구대명),daegu,132402
234,평택대학교,본교(경기평택),gyeonggi,131062
235,부산과학기술대학교,본교,busan,130880
236,수원가톨릭대학교,본교(수원),gyeonggi,130516
237,전남과학대학교,본교(곡성옥과),jeolla,129901
238,실천신학대학원대학교,본교(경기),gyeonggi,128930
239,경상대학교,제2캠퍼스(통영),gyeongsang,128757
240,연성대학교,본교(경기),gyeonggi,128197
241,부산교육대학교,본교(부산),busan,125940
242,동의과학대학교,본교,busan,125437
243,인천가톨릭대학교,강화캠퍼스,incheon,125409
244,송곡대학교,본교,gangwon,125342
245,광주여자대학교,본교(광산),gwangju,125267
246,혜전대학교,본교(충남홍성),chungcheong,124812
247,창신대학교,본교,gyeongsang,122668
248,나사렛대학교,본교(천안),chungcheong,121696
249,두원공과대학교,제2캠퍼스(파주),gyeonggi,121508
250,아신대학교,본교(양평),gyeonggi,121323
251,동서울대학교,본교(경기성남),gyeonggi,120557
252,안동과학대학교,본교(안동),gyeongsang,120024
253,세종대학교,본교(서울),seoul,119694
254,경동대학교,속초캠퍼스,gangwon,119331
255,경민대학교,본교,gyeonggi,116699
256,남부대학교,본교(광산),gwangju,116071
257,협성대학교,본교(경기화성),gyeonggi,115856
258,성운대학교,본교(영천),gyeongsang,114872
259,우석대학교,진천캠퍼스,chungcheong,114720
260,강릉영동대학교,본교,gangwon,114391
261,고신대학교,천안캠퍼스,chungcheong,112828
262,홍익대학교,본교(서울),seoul,112653
263,우송정보대학,본교(대전),daejeon,112383
264,한국체육대학교,본교,seoul,111902
265,서정대학교,본교(경기),gyeonggi,111141
266,경북도립대학교,본교,gyeongsang,110922
267,대구한의대학교,오성캠퍼스,gyeongsang,110238
268,고구려대학교,본교,jeolla,104096
269,한세대학교,본교(경기군포),gyeonggi,103582
270,목포과학대학교,본교(양을),jeolla,103401
271,용인예술과학대학교,본교,gyeonggi,102361
272,세한대학교,당진캠퍼스,chungcheong,102030
273,성신여자대학교,본교(서울),seoul,101874
274,동주대학교,본교,busan,101558
275,합동신학대학원대학교,본교,gyeonggi,101497
276,동양대학교,캠퍼스(동두천시),gyeonggi,100629
277,가천대학교,강화캠퍼스,incheon,98242
278,경남정보대학교,본교,busan,98133
279,원광보건대학교,본교,jeolla,97615
280,대경대학교,본교,gyeongsang,96897
281,가톨릭상지대학교,본교,gyeongsang,96670
282,차의과학대학교,본교(경기),gyeonggi,96641
283,부산장신대학교,본교,gyeongsang,96492
284,한일장신대학교,본교(완주),jeolla,95529
285,진주교육대학교,본교(진주),gyeongsang,94745
286,선문대학교,캠퍼스(천안),chungcheong,94726
287,경남도립거창대학,본교,gyeongsang,94495
288,청주교육대학교,본교(청주),chungcheong,93450
289,루터대학교,본교(경기),gyeonggi,92789
290,계원예술대학교,본교(경기),gyeonggi,92785
291,케이씨대학교,본교(서울),seoul,92483
292,대전보건대학교,본교(대전),daejeon,91477
293,세경대학교,본교,gangwon,91021
294,서울대학교,제2캠퍼스(연건),seoul,91002
295,한려대학교,본교(전남광양),jeolla,90042
296,을지대학교,캠퍼스(의정부),gyeonggi,89660
297,가톨릭대학교,성의캠퍼스,seoul,86673
298,서울교육대학교,본교(서울서초),seoul,86350
299,광주보건대학교,본교(신창동),gwangju,85847
300,신구대학교,본교,gyeonggi,85055
301,영산대학교,제2캠퍼스(부산),busan,82925
302,선린대학교,본교,gyeongsang,82900
303,대구공업대학교,본교(대구달서),daegu,82808
304,한국복지대학교,본교,gyeonggi,82501
305,공주교육대학교,본교(공주),chungcheong,81952
306,전북과학대학교,본교(전북정읍),jeolla,81864
307,한국외국어대학교,본교(서울이문),seoul,81199
308,경기과학기술대학교,본교,gyeonggi,80340
309,인하공업전문대학,본교,incheon,79341
310,전주교육대학교,본교(전주),jeolla,78754
311,부산여자대학교,본교,busan,78482
312,가톨릭꽃동네대학교,본교(충북청원),chungcheong,78186
313,인덕대학교,본교(서울),seoul,76485
314,공주대학교,제2캠퍼스(공주옥룡),chungcheong,75900
315,광운대학교,본교(서울노원),seoul,75836
316,총신대학교,본교(사당),seoul,74694
317,부산경상대학교,본교,busan,73880
318,서영대학교,본교(광주),gwangju,72580
319,영진전문대학교,복현,daegu,71609
320,동아대학교,제2캠퍼스(구덕),busan,71143
321,영산선학대학교,본교(영광),jeolla,70916
322,한양여자대학교,본교,seoul,70558
323,서영대학교,캠퍼스(파주),gwangju,70253
324,대구예술대학교,본교(칠곡),gyeongsang,69315
325,신경대학교,본교(경기화성),gyeonggi,68572
326,숙명여자대학교,본교(서울),seoul,68337
327,을지대학교,캠퍼스(성남),gyeonggi,67692
328,한국관광대학교,본교(경기이천),gyeonggi,67635
329,한영대학교,본교(여수),jeolla,67604
330,영남대학교,제2캠퍼스(대명동),daegu,67471
331,예원예술대학교,제2캠퍼스(양주),gyeonggi,67319
332,경남도립남해대학,본교,gyeongsang,66895
333,대구교육대학교,본교(대구남구),daegu,65751
334,성서침례대학원대학교,본교(이천),gyeonggi,65495
335,장로회신학대학교,본교(서울),seoul,63090
336,동남보건대학교,본교(경기),gyeonggi,62441
337,서울장신대학교,본교(경기광주),gyeonggi,62268
338,대구과학대학교,본교(대구),daegu,60837
339,가천대학교,메디컬캠퍼스,incheon,59816
340,한신대학교,서울캠퍼스,seoul,58849
341,경북보건대학교,본교(김천),gyeongsang,57625
342,영남신학대학교,본교(경산),gyeongsang,57505
343,동강대학교,본교,gwangju,57409
344,광양보건대학교,본교(전남),jeolla,55875
345,한국골프대학교,본교,gangwon,55745
346,명지대학교,인문캠퍼스,seoul,55486
347,동의대학교,제2캠퍼스(양정),busan,55313
348,청운대학교,캠퍼스(인천),incheon,54934
349,성신여자대학교,운정그린캠퍼스,seoul,54545
350,호산대학교,본교(하양),gyeongsang,54347
351,동덕여자대학교,본교(서울월곡),seoul,54323
352,서경대학교,본교(서울정릉),seoul,53615
353,가톨릭대학교,성신캠퍼스,seoul,51318
354,삼육보건대학교,본교,seoul,49710
355,계명대학교,제2캠퍼스(대명),daegu,49693
356,한성대학교,본교(서울성북),seoul,48726
357,안양대학교,본교(안양),gyeonggi,47434
358,한국교통대학교,제3캠퍼스(의왕),gyeonggi,47344
359,호남신학대학교,본교(양림),gwangju,47017
360,군산대학교,산단캠퍼스,jeolla,46996
361,충북도립대학교,본교,chungcheong,46511
362,부천대학교,본교,gyeonggi,46227
363,청암대학교,본교,jeolla,45522
364,대신대학교,본교(경산),gyeongsang,45018
365,한국승강기대학교,본교,gyeongsang,44123
366,대전신학대학교,본교,daejeon,44068
367,인천가톨릭대학교,송도캠퍼스,incheon,42077
368,대구보건대학교,본교(대구북구),daegu,41515
369,유한대학교,본교(경기),gyeonggi,40958
370,울산대학교,산단캠퍼스,ulsan,40921
371,광신대학교,본교(광주),gwangju,40776
372,금오공과대학교,산단캠퍼스,gyeongsang,40690
373,국제법률경영대학원대학교,본교,gyeonggi,40651
374,성공회대학교,본교(서울),seoul,39431
375,경상대학교,제3캠퍼스(칠암),gyeongsang,39229
376,부산예술대학교,본교,busan,38880
377,웅지세무대학교,본교(파주),gyeonggi,38513
378,연세대학교,캠퍼스(일산),gangwon,38157
379,인천재능대학교,제2캠퍼스(송도),incheon,37866
380,조선간호대학교,본교,gwangju,37427
381,동아대학교,제3캠퍼스(부민),busan,37120
382,동양미래대학교,본교(서울구로),seoul,36881
383,진주보건대학교,본교(진주상봉),gyeongsang,36174
384,경북대학교,제2캠퍼스(대구중구),daegu,34876
385,칼빈대학교,본교(용인),gyeonggi,34315
386,수원여자대학교,본교(인제),gyeonggi,33591
387,명지전문대학,본교,seoul,33500
388,호서대학교,산단캠퍼스,chungcheong,33086
389,추계예술대학교,본교(서울),seoul,32681
390,대구가톨릭대학교,제3캠퍼스(유스티노),daegu,32187
391,경인여자대학교,본교,incheon,31478
392,서일대학교,본교,seoul,29443
393,인천재능대학교,본교,incheon,29260
394,군산간호대학교,본교(군산),jeolla,28868
395,고신대학교,송도캠퍼스,busan,27324
396,예원예술대학교,본교(임실),jeolla,26245
397,전주기전대학,본교,jeolla,25882
398,을지대학교,본교(대전),daejeon,25869
399,숭의여자대학교,본교(서울),seoul,25724
400,대동대학교,본교(부산),busan,25590
401,수원여자대학교,제2캠퍼스(해란),gyeonggi,25492
402,감리교신학대학교,본교(서울),seoul,24479
403,선학유피대학원대학교,본교,gyeonggi,24251
404,대구가톨릭대학교,제2캠퍼스(루가),daegu,23795
405,배화여자대학교,본교(서울종로),seoul,23389
406,목포가톨릭대학교,본교(목포),jeolla,21601
407,경기대학교,제2캠퍼스(서울),seoul,19157
408,서울한영대학교,본교(서울구로),seoul,18899
409,한국성서대학교,본교,seoul,18619
410,예수대학교,본교(전주),jeolla,18568
411,한국전력국제원자력대학원대학교,본교,ulsan,17600
412,덕성여자대학교,종로캠퍼스,seoul,17518
413,기독간호대학교,본교,gwangju,16752
414,원불교대학원대학교,본교(전북익산),jeolla,15762
415,국제뇌교육종합대학원대학교,본교(천안),chungcheong,15334
416,대구대학교,제2캠퍼스(대명),gyeongsang,14436
417,경안대학원대학교,본교(안동),gyeongsang,14120
418,목포대학교,산단캠퍼스,jeolla,12658
419,경남정보대학교,산단캠퍼스,busan,12044
420,능인대학원대학교,본교,gyeonggi,11839
421,조선대학교,산단캠퍼스,gwangju,10281
422,제네바신학대학원대학교,본교,gyeonggi,10225
423,이화여자대학교,캠퍼스(마곡),seoul,9917
424,구세군사관대학원대학교,본교,gyeonggi,9139
425,충북대학교,산단캠퍼스,chungcheong,9000
426,웨스트민스터신학대학원대학교,본교(경기용인),gyeonggi,8460
427,온석대학원대학교,본교(경기용인),gyeonggi,8435
428,배재대학교,산단캠퍼스,daejeon,8025
429,인제대학교,제2캠퍼스(부산),busan,7955
430,서울기독대학교,본교(서울은평),seoul,7940
431,한밭대학교,산단캠퍼스,daejeon,6897
432,에스라성경대학원대학교,본교(경기고양),gyeonggi,6258
433,계약신학대학원대학교,본교,gyeonggi,5562
434,서울여자간호대학교,본교(서울홍제),seoul,4534
435,동서대학교,산단캠퍼스,busan,4488
436,북한대학원대학교,본교(서울종로),seoul,3966
437,성산효대학원대학교,본교(인천),incheon,3965
438,건신대학원대학교,본교(대전중구),daejeon,3930
439,전북대학교,산단캠퍼스,jeolla,3674
440,백석대학교,제2캠퍼스(서울),seoul,3445
441,횃불트리니티신학대학원대학교,본교(서울서초),seoul,3306
442,동방문화대학원대학교,본교(서울성북),seoul,3026
443,서울성경신학대학원대학교,본교(서울동작),seoul,2440
444,대한신학대학원대학교,본교,gyeonggi,1987
445,호서대학교,제3캠퍼스(서울),seoul,1741
446,국제영어대학원대학교,본교(서울강동),seoul,1681
447,한림국제대학원대학교,본교,seoul,1649
448,충북도립대학교,산단캠퍼스,chungcheong,1508
449,서울외국어대학원대학교,본교(서울),seoul,1312
450,서울상담심리대학원대학교,본교,seoul,1310
451,한국상담대학원대학교,본교,seoul,1072
452,베뢰아국제대학원대학교,본교,seoul,1038
453,서울불교대학원대학교,본교(서울금천),seoul,1024
454,서울미디어대학원대학교,본교,seoul,989
455,주안대학원대학교,본교,incheon,895
456,치유상담대학원대학교,본교,seoul,882
457,서울사회복지대학원대학교,본교(영등포),seoul,750
458,개신대학원대학교,본교(강북미아),seoul,744
459,서울과학종합대학원대학교,본교(대현),seoul,712
460,국제신학대학원대학교,본교(서울관악),seoul,650
461,순복음대학원대학교,본교(서울관악),seoul,631
462,예명대학원대학교,본교,gyeonggi,631
463,서울벤처대학원대학교,본교,seoul,578
464,한반도국제대학원대학교,본교(효창동),seoul,374